iter	RMSE
411	0.1420309169
412	0.141926904
413	0.1418679116
414	0.141795154
415	0.1417303513
416	0.1416650561
417	0.1416265215
418	0.1415796115
419	0.1415117187
420	0.1414611826
421	0.1414305788
422	0.1413942827
423	0.1413610425
424	0.1413078579
425	0.1412429747
426	0.1411904682
427	0.1411311178
428	0.1411040444
429	0.1410127054
430	0.1409638215
431	0.1409123447
432	0.1408744756
433	0.1408149988
434	0.140777558
435	0.1407300515
436	0.1406688143
437	0.1406112035
438	0.1405589583
439	0.1404992832
440	0.140456053
441	0.1404059353
442	0.1403601394
443	0.1402853659
444	0.1402495611
445	0.1402072945
446	0.140163966
447	0.1401048211
448	0.1400445061
449	0.139956958
450	0.1399198674
451	0.1398375153
452	0.139782394
453	0.1397401993
454	0.1396633485
455	0.1395952062
456	0.1395396818
457	0.1395089426
458	0.1394536244
459	0.1394055614
460	0.1393623017
461	0.139322378
462	0.139288372
463	0.1392266486
464	0.1391654886
465	0.1391095537
466	0.1390738408
467	0.1390348892
468	0.1389839029
469	0.1389575541
470	0.1388807995
471	0.1388317503
472	0.1387853353
473	0.1387319497
474	0.1386891894
475	0.138642022
476	0.1385967637
477	0.138539074
478	0.1385019303
479	0.1384206914
480	0.1383806219
481	0.1383304306
482	0.1382962273
483	0.1382572781
484	0.138199355
485	0.1381517167
486	0.1381093428
487	0.1380547332
488	0.1380378445
489	0.1379900289
490	0.1379701209
491	0.1379084419
492	0.1378704093
493	0.1378000454
494	0.137728498
495	0.1376500195
496	0.1375894935
497	0.1375196729
498	0.1374797558
499	0.1374374649
